序号,户型-房间,户型-厅,户型-厨房,户型-卫生,建筑面积,朝向,装修,电梯,总楼层,所处层数,建筑类型,建筑结构,小区,经度,纬度,地址,建筑时间,价格（万）
127,3,2,0,2,137.54,南,精装,有,低,14,板楼,一梯两户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,620
128,3,2,1,1,112.94,南,精装,有,低,14,板楼,一梯两户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,515
129,3,2,1,2,94.33,南,精装,无,中,6,板楼,一梯两户,首创锦悦,121.22517,31.072295,"云恩路58弄, 云恩路59弄",2013,446
130,3,2,1,2,140.93,南 北,简装,有,高,18,板楼,两梯两户,莱顿小城,121.252759,31.071153,"辰花路839弄, 茸盛路594号",2006,500
131,4,2,1,3,188,南,简装,有,低,16,板楼,两梯两户,誉品谷水湾,121.232503,31.063333,龙马路185弄,2008,920
132,2,2,1,1,105.5,南,精装,有,中,14,板楼,一梯两户,三湘四季花城,121.233711,31.060553,"广富林路1599弄,梅家浜路1508弄",2006,485
133,3,2,1,1,108.78,南 北,精装,有,中,18,板楼,两梯三户,三湘四季花城,121.233711,31.060553,"广富林路1599弄,梅家浜路1508弄",2006,505
134,1,1,1,1,63.84,南,精装,有,中,12,板楼,一梯三户,绿地蔷薇九里(公寓),121.236356,31.064969,广富林路1518弄,2009,290
135,2,1,1,1,82.24,南,精装,有,低,27,板楼,两梯七户,星辰园(公寓),121.236346,31.058065,梅家浜路1505弄,2004,282
136,3,2,1,2,142.58,南 北,精装,有,高,14,板楼,一梯两户,松云水苑(公寓),121.244126,31.04927,文翔路928弄,2005,428
137,1,1,1,1,59.7,南,简装,有,中,18,板楼,两梯四户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,278
138,2,1,0,1,67.39,南 北,精装,无,高,6,板楼,一梯两户,松云水苑(公寓),121.244126,31.04927,文翔路928弄,2005,240
139,1,1,1,1,62.25,东南,其他,有,高,11,塔楼,两梯十一户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,208
140,2,2,1,1,82.11,南 北,简装,有,低,22,板楼,一梯两户,信达蓝爵,121.248677,31.065979,淡家浜街99弄,2013,352
141,1,2,1,1,59.7,南,精装,有,中,18,板楼,两梯四户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,280
142,3,2,1,2,149,南 北,毛坯,无,高,6,板楼,一梯两户,恒杰丁香花园,121.193758,31.050438,三新北路1333弄,2007,460
143,4,2,1,2,180.72,南,毛坯,有,低,19,板楼,两梯两户,御上海,121.240489,31.054934,谷阳北路2399弄,2009,708
144,3,1,1,2,153.95,南,毛坯,有,高,14,板楼,一梯两户,松云水苑(公寓),121.244126,31.04927,文翔路928弄,2005,430
145,4,2,1,2,140.77,南,毛坯,有,低,18,板楼,两梯三户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,610
146,3,2,1,2,132.1,南,精装,有,中,18,板楼,两梯两户,御上海,121.240489,31.054934,谷阳北路2399弄,2009,560
147,3,2,1,2,135.56,南,其他,有,中,14,板楼,一梯两户,三湘四季花城,121.233711,31.060553,"广富林路1599弄,梅家浜路1508弄",2006,595
148,3,1,1,1,85.96,南 北,其他,有,高,14,板楼,两梯两户,上坤红树湾,121.247159,31.064191,光星路1855弄,2016,405
149,3,2,1,1,112.72,南,毛坯,有,中,14,板楼,一梯两户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,515
150,4,1,1,2,155.48,南 北,其他,有,低,18,板楼,两梯两户,莱顿小城,121.252759,31.071153,"辰花路839弄, 茸盛路594号",2006,500
151,3,2,1,2,171.8,南 北,精装,有,低,17,板楼,两梯两户,誉品谷水湾,121.232503,31.063333,龙马路185弄,2008,770
152,2,1,1,1,67.89,南,精装,无,低,6,板楼,一梯两户,文翔名苑(公寓),121.198601,31.052462,文翔路3088弄,2006,260
153,4,1,1,2,140.57,南,毛坯,有,高,18,板楼,两梯三户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,645
154,3,2,1,2,129.08,南 北,精装,有,中,14,板楼,一梯两户,莱顿小城,121.252759,31.071153,"辰花路839弄, 茸盛路594号",2006,490
155,1,1,1,1,56.35,南,精装,有,高,10,板楼,一梯四户,绿地诺丁山(公寓),121.192921,31.054567,文宇路88弄,2010,229
156,2,1,1,1,62.84,南,精装,有,低,18,板楼,两梯四户,御上海,121.240489,31.054934,谷阳北路2399弄,2009,276
157,2,2,1,1,88.38,南,毛坯,无,高,5,板楼,一梯两户,文翔名苑(公寓),121.198601,31.052462,文翔路3088弄,2006,295
158,2,2,1,1,78,南,精装,有,低,17,板楼,一梯两户,首创锦悦,121.22517,31.072295,"云恩路58弄, 云恩路59弄",2013,285
159,3,2,1,2,134.07,南,精装,有,中,16,板楼,两梯两户,御上海,121.240489,31.054934,谷阳北路2399弄,2009,550
160,1,2,1,1,59.52,南,精装,有,高,18,板楼,两梯四户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,263
161,1,1,1,1,65.62,南,精装,有,中,18,板楼,两梯四户,御上海,121.240489,31.054934,谷阳北路2399弄,2009,280
162,3,1,1,1,105.45,南,精装,有,低,14,板楼,两梯四户,三湘四季花城,121.233711,31.060553,"广富林路1599弄,梅家浜路1508弄",2006,489
163,2,2,1,2,99.63,南,简装,有,中,17,板楼,两梯三户,御上海,121.240489,31.054934,谷阳北路2399弄,2009,400
164,2,2,1,1,90.48,南,精装,有,低,14,板楼,两梯四户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,370
165,1,1,1,1,51.94,南,精装,有,低,11,板楼,一梯四户,恒杰丁香花园,121.193758,31.050438,三新北路1333弄,2007,183
166,1,1,1,1,59.7,南,精装,有,高,18,板楼,两梯四户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,265
167,3,2,1,2,151.22,东,简装,有,中,18,板楼,两梯两户,莱顿小城,121.252759,31.071153,"辰花路839弄, 茸盛路594号",2006,600
168,3,2,1,2,138.91,南 北,精装,有,中,24,板楼,两梯三户,松云水苑(公寓),121.244126,31.04927,文翔路928弄,2005,415
169,3,2,1,2,133.84,南,精装,有,低,21,板楼,两梯两户,御上海,121.240489,31.054934,谷阳北路2399弄,2009,530
170,2,1,0,1,64,南,精装,有,中,18,板楼,两梯四户,御上海,121.240489,31.054934,谷阳北路2399弄,2009,275
171,1,1,1,1,63.84,南,简装,有,低,12,板楼,一梯三户,绿地蔷薇九里(公寓),121.236356,31.064969,广富林路1518弄,2009,282
172,1,1,1,1,65.24,南,其他,有,高,18,板楼,两梯四户,星辰园(公寓),121.236346,31.058065,梅家浜路1505弄,2004,315
173,2,2,1,1,93.37,南,简装,有,中,11,板楼,一梯两户,御上海,121.240489,31.054934,谷阳北路2399弄,2009,385
174,1,1,1,1,64.15,南,简装,有,低,27,板楼,两梯十一户,星辰园(公寓),121.236346,31.058065,梅家浜路1505弄,2004,249
175,2,2,1,1,94,南 北,其他,有,低,18,板楼,两梯四户,御上海,121.240489,31.054934,谷阳北路2399弄,2009,390
176,1,1,1,1,61.07,东,简装,有,高,8,板楼,一梯五十户,三湘四季财富广场,121.2367323,31.0600402,梅家浜路1500弄39号,2012,245
177,3,2,1,2,88.85,南,精装,有,低,20,塔楼,两梯十二户,龙湖好望山(公寓),121.231755,31.061914,"人民北路2908弄, 云清路41号",2012,370
178,3,2,1,2,140.93,南 北,精装,有,低,18,板楼,两梯两户,莱顿小城,121.252759,31.071153,"辰花路839弄, 茸盛路594号",2006,450
179,3,2,1,2,135.26,南,精装,有,低,14,板楼,一梯两户,三湘四季花城,121.233711,31.060553,"广富林路1599弄,梅家浜路1508弄",2006,594.5
180,3,2,1,1,123.1,南 北,精装,有,低,14,板楼,一梯两户,三湘四季花城,121.233711,31.060553,"广富林路1599弄,梅家浜路1508弄",2006,575
181,4,2,1,2,169.7,东,精装,有,高,18,板楼,两梯两户,莱顿小城,121.252759,31.071153,"辰花路839弄, 茸盛路594号",2006,700
182,1,1,1,1,59.52,南,简装,有,高,18,板楼,两梯四户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,269
183,1,1,1,1,59.7,南,精装,有,低,18,板楼,两梯四户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,265
184,2,2,1,2,99.63,南,精装,有,中,17,板楼,两梯三户,御上海,121.240489,31.054934,谷阳北路2399弄,2009,420
185,3,2,1,1,92.23,南 北,精装,有,低,11,板楼,一梯两户,御上海,121.240489,31.054934,谷阳北路2399弄,2009,390
186,3,2,1,1,81.6,南,精装,有,低,22,板楼,一梯两户,信达蓝爵,121.248677,31.065979,淡家浜街99弄,2013,350
187,3,2,1,2,131.03,南 北,精装,无,低,6,板楼,一梯两户,文翔名苑(公寓),121.198601,31.052462,文翔路3088弄,2006,400
188,3,2,1,2,164,南,简装,有,低,17,板楼,两梯两户,誉品谷水湾,121.232503,31.063333,龙马路185弄,2008,710
189,2,2,1,1,86,南 北,精装,有,低,18,板楼,两梯三户,莱顿小城,121.252759,31.071153,"辰花路839弄, 茸盛路594号",2006,360
190,3,2,1,2,127.85,南,精装,有,低,18,板楼,两梯四户,星辰园(公寓),121.236346,31.058065,梅家浜路1505弄,2004,500
191,4,2,1,2,159.4,南,精装,有,中,14,板楼,一梯两户,三湘四季花城,121.233711,31.060553,"广富林路1599弄,梅家浜路1508弄",2006,760
192,3,2,1,1,86,南 北,精装,有,中,21,板楼,一梯两户,万科梦想派,121.249212,31.067068,淡家浜街88弄,2014,385
193,2,1,1,1,64.99,南,其他,有,中,11,板楼,一梯三户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,305
194,2,2,0,1,92.82,南,简装,有,低,11,板楼,一梯两户,御上海,121.240489,31.054934,谷阳北路2399弄,2009,390
195,3,1,1,1,77,南 北,精装,有,中,18,板楼,两梯四户,三湘四季花城,121.233711,31.060553,"广富林路1599弄,梅家浜路1508弄",2006,380
196,2,2,1,1,85.93,南,精装,有,低,18,板楼,两梯三户,莱顿小城,121.252759,31.071153,"辰花路839弄, 茸盛路594号",2006,340
197,3,2,1,2,127.85,南,精装,有,中,18,板楼,两梯四户,星辰园(公寓),121.236346,31.058065,梅家浜路1505弄,2004,495
198,3,2,1,2,137.63,南,其他,有,高,14,板楼,一梯两户,松云水苑(公寓),121.244126,31.04927,文翔路928弄,2005,480
199,1,1,0,1,59.7,南,精装,有,高,18,板楼,两梯四户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,277
200,3,2,1,2,150.87,南,精装,有,低,18,板楼,两梯两户,莱顿小城,121.252759,31.071153,"辰花路839弄, 茸盛路594号",2006,530
201,2,2,1,1,98.58,南 北,精装,有,高,18,板楼,两梯四户,星辰园(公寓),121.236346,31.058065,梅家浜路1505弄,2004,425
202,1,1,1,1,59.97,南 北,其他,有,低,14,板楼,两梯四户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,252
203,2,2,1,1,117,南,其他,有,高,27,板楼,四梯八户,三湘四季花城牡丹苑,121.2367623,31.05943964,梅家浜路1500弄,2015,430
204,2,2,1,1,90.46,南 北,精装,有,高,11,板楼,一梯两户,绿地蔷薇九里(公寓),121.236356,31.064969,广富林路1518弄,2009,405
205,2,1,1,1,71.9,南 北,精装,有,高,18,板楼,一梯两户,万科梦想派,121.249212,31.067068,淡家浜街88弄,2014,340
206,3,2,1,2,115.12,东,精装,无,高,6,板楼,一梯两户,松云水苑(公寓),121.244126,31.04927,文翔路928弄,2005,350
207,3,2,1,2,138,南,精装,有,低,24,板楼,两梯三户,松云水苑(公寓),121.244126,31.04927,文翔路928弄,2005,390
208,2,2,1,1,89.85,南,精装,有,中,18,板楼,两梯四户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,400
209,2,2,1,1,67.95,南,其他,有,低,20,塔楼,两梯十八户,龙湖好望山(公寓),121.231755,31.061914,"人民北路2908弄, 云清路41号",2012,298
210,4,2,1,2,143.09,南 北,精装,有,低,12,板楼,一梯两户,莱顿小城,121.252759,31.071153,"辰花路839弄, 茸盛路594号",2006,600
211,4,1,1,2,140.56,南,精装,有,低,18,板楼,两梯三户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,650
212,3,2,1,1,122.68,南,精装,有,低,14,板楼,一梯两户,三湘四季花城,121.233711,31.060553,"广富林路1599弄,梅家浜路1508弄",2006,535
213,4,2,1,2,155.48,南 北,毛坯,有,低,18,板楼,两梯两户,莱顿小城,121.252759,31.071153,"辰花路839弄, 茸盛路594号",2006,490
214,3,2,1,2,119.75,南,其他,有,高,20,塔楼,两梯十八户,龙湖好望山(公寓),121.231755,31.061914,"人民北路2908弄, 云清路41号",2012,460
215,3,2,1,2,144.6,南,精装,有,低,14,板楼,两梯四户,三湘四季花城,121.233711,31.060553,"广富林路1599弄,梅家浜路1508弄",2006,460
216,2,2,1,1,89.85,南 北,精装,有,高,18,板楼,两梯四户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,375
217,1,1,1,1,57.03,东南,其他,有,中,11,塔楼,两梯十一户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,200
218,1,1,1,1,59.5,南,精装,有,高,18,板楼,两梯四户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,253
219,1,1,1,1,64,南,其他,有,高,18,板楼,两梯四户,御上海,121.240489,31.054934,谷阳北路2399弄,2009,275
220,1,1,1,1,62,南 北,简装,有,中,18,板楼,两梯四户,御上海,121.240489,31.054934,谷阳北路2399弄,2009,290
221,2,2,1,1,64,南,精装,有,低,18,板楼,两梯四户,御上海,121.240489,31.054934,谷阳北路2399弄,2009,278
222,2,2,1,1,82.66,南,精装,有,中,11,板楼,一梯两户,绿地诺丁山(公寓),121.192921,31.054567,文宇路88弄,2010,328
223,1,2,0,1,59.83,南,精装,有,中,14,板楼,两梯四户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,279
224,3,2,1,1,86,南 北,精装,有,中,14,板楼,两梯两户,上坤红树湾,121.247159,31.064191,光星路1855弄,2016,389
225,2,2,1,1,88.7,南 北,精装,无,中,5,板楼,一梯两户,文翔名苑(公寓),121.198601,31.052462,文翔路3088弄,2006,305
226,2,2,0,1,89.03,南,精装,有,低,18,板楼,一梯三户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,360
227,1,2,1,2,62,南,简装,有,低,11,板楼,一梯两户,绿地蔷薇九里(公寓),121.236356,31.064969,广富林路1518弄,2009,280
228,1,1,1,1,56.33,南,简装,有,中,11,塔楼,两梯十一户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,203
229,3,2,1,2,157.13,南,精装,有,低,16,板楼,两梯两户,誉品谷水湾,121.232503,31.063333,龙马路185弄,2008,730
230,2,2,1,1,81,南 北,精装,有,低,11,板楼,一梯两户,绿地诺丁山(公寓),121.192921,31.054567,文宇路88弄,2010,295
231,3,2,1,2,149.67,南 北,精装,有,高,18,板楼,两梯两户,莱顿小城,121.252759,31.071153,"辰花路839弄, 茸盛路594号",2006,510
232,2,2,1,1,62.83,南,其他,有,中,18,板楼,两梯四户,御上海,121.240489,31.054934,谷阳北路2399弄,2009,279
233,2,2,1,1,87.37,南,精装,有,高,12,板楼,两梯三户,绿地蔷薇九里(公寓),121.236356,31.064969,广富林路1518弄,2009,408
234,2,2,1,1,89.28,南 北,精装,无,低,5,板楼,一梯两户,文翔名苑(公寓),121.198601,31.052462,文翔路3088弄,2006,305
235,2,2,1,2,114.38,南 北,毛坯,有,低,14,板楼,一梯两户,松云水苑(公寓),121.244126,31.04927,文翔路928弄,2005,330
236,2,2,1,1,98.73,南 北,精装,有,高,18,板楼,两梯四户,星辰园(公寓),121.236346,31.058065,梅家浜路1505弄,2004,405
237,2,1,1,1,65.63,南,简装,有,低,18,板楼,两梯四户,御上海,121.240489,31.054934,谷阳北路2399弄,2009,285
238,1,1,1,1,59.5,南,精装,有,中,18,板楼,两梯四户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,255
239,2,1,1,1,69,南,精装,无,低,6,板楼,一梯两户,松云水苑(公寓),121.244126,31.04927,文翔路928弄,2005,258
240,2,2,1,1,82.76,南 北,精装,有,高,11,板楼,一梯两户,绿地诺丁山(公寓),121.192921,31.054567,文宇路88弄,2010,335
241,1,1,1,1,62.84,南,精装,有,高,18,板楼,两梯四户,御上海,121.240489,31.054934,谷阳北路2399弄,2009,295
242,2,2,0,1,93.95,南,简装,有,低,18,板楼,两梯四户,御上海,121.240489,31.054934,谷阳北路2399弄,2009,405
243,2,1,1,1,81.51,南,精装,有,低,27,板楼,两梯十一户,星辰园(公寓),121.236346,31.058065,梅家浜路1505弄,2004,285
244,2,2,1,1,87.37,南,精装,有,低,12,板楼,两梯三户,绿地蔷薇九里(公寓),121.236356,31.064969,广富林路1518弄,2009,381
245,2,1,1,1,71.81,南,精装,有,高,18,板楼,两梯三户,三湘四季花城,121.233711,31.060553,"广富林路1599弄,梅家浜路1508弄",2006,335
246,2,1,1,1,59.57,南,精装,有,低,18,板楼,两梯四户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,263
247,2,2,1,2,99.63,南,精装,有,中,17,板楼,两梯三户,御上海,121.240489,31.054934,谷阳北路2399弄,2009,465
248,1,2,1,1,59.7,南,精装,有,中,18,板楼,两梯四户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,269
249,1,2,1,1,63.97,南,精装,有,中,18,板楼,两梯四户,御上海,121.240489,31.054934,谷阳北路2399弄,2009,290
250,2,1,1,1,65.29,南,精装,有,高,11,板楼,一梯四户,恒杰丁香花园,121.193758,31.050438,三新北路1333弄,2007,248
251,2,1,1,1,65.16,南,精装,有,中,12,板楼,一梯三户,恒杰丁香花园,121.193758,31.050438,三新北路1333弄,2007,246
252,2,2,1,1,76.59,南,精装,有,高,18,板楼,两梯四户,三湘四季花城,121.233711,31.060553,"广富林路1599弄,梅家浜路1508弄",2006,369
253,1,1,1,1,59.5,南,其他,有,中,18,板楼,两梯四户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,268
